File Name,admin_2026-07-16 14-31-44_782BR21735.pcrd,,,,,,,,,,
Created By User,admin,,,,,,,,,,
Notes,,,,,,,,,,,
ID,,,,,,,,,,,
Run Started,07/16/2026 12:31:52 UTC,,,,,,,,,,
Run Ended,07/16/2026 15:26:05 UTC,,,,,,,,,,
Sample Vol,20,,,,,,,,,,
Lid Temp,105,,,,,,,,,,
Protocol File Name,qRT_PCR_template_GAPDH.prcl,,,,,,,,,,
Plate Setup File Name,20260713.pltd,,,,,,,,,,
Base Serial Number,782BR21735,,,,,,,,,,
Optical Head Serial Number,782BR21735,,,,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,,,,
,,,,,,,,,,,
Well group,All Wells,,,,,,,,,,
Amplification step,4,,,,,,,,,,
Melt step,7,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Well,Fluor,Target,Content,Replicate,Sample,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,Melt Temperature,Peak Height
A01,SYBR,Hsp90aa,Unkn,,1ng,30.0684081714031,NaN,30.0684081714031,0,82,247.593197736673
A02,SYBR,Hsp90aa,Unkn,,1ng,29.9264758035828,NaN,29.9264758035828,0,82,292.929184916389
A04,SYBR,gapdh,Unkn,,1ng,28.1440532535035,NaN,28.1440532535035,0,81,272.742011811574
A05,SYBR,gapdh,Unkn,,1ng,27.7327770911902,NaN,27.7327770911902,0,81,332.492683711526
A07,SYBR,klf4,Unkn,,1ng,27.9793829193848,NaN,27.9793829193848,0,76.5,636.936233191481
A08,SYBR,klf4,Unkn,,1ng,28.130266127888,NaN,28.130266127888,0,76.5,588.555190886372
A10,SYBR,nanog,Unkn,,1ng,29.0898911158779,NaN,29.0898911158779,0,85,325.70332392213
A11,SYBR,nanog,Unkn,,1ng,29.3299514696346,NaN,29.3299514696346,0,85,347.391470582505
B01,SYBR,Hsp90aa,Unkn,,10ng,26.2779629159764,NaN,26.2779629159764,0,82.5,269.008898457879
B02,SYBR,Hsp90aa,Unkn,,10ng,25.9307194077697,NaN,25.9307194077697,0,82.5,313.458515891529
B04,SYBR,gapdh,Unkn,,10ng,24.1201467281447,NaN,24.1201467281447,0,81.5,270.775374471792
B05,SYBR,gapdh,Unkn,,10ng,23.6923214427022,NaN,23.6923214427022,0,81.5,320.118014827084
B07,SYBR,klf4,Unkn,,10ng,24.3972880113039,NaN,24.3972880113039,0,77,567.47114851932
B08,SYBR,klf4,Unkn,,10ng,24.2560130176566,NaN,24.2560130176566,0,76.5,632.134689491247
B10,SYBR,nanog,Unkn,,10ng,25.3674944880949,NaN,25.3674944880949,0,85.5,382.198771932324
B11,SYBR,nanog,Unkn,,10ng,25.5964551797983,NaN,25.5964551797983,0,85.5,328.639911509007
C01,SYBR,Hsp90aa,Unkn,,100ng,22.8713804251696,NaN,22.8713804251696,0,82.5,312.363843583052
C02,SYBR,Hsp90aa,Unkn,,100ng,22.9125538758963,NaN,22.9125538758963,0,82.5,307.049601171507
C04,SYBR,gapdh,Unkn,,100ng,20.9094113802212,NaN,20.9094113802212,0,81.5,294.208103570443
C05,SYBR,gapdh,Unkn,,100ng,20.4438289337009,NaN,20.4438289337009,0,81.5,379.192070246149
C07,SYBR,klf4,Unkn,,100ng,21.0408208517902,NaN,21.0408208517902,0,77,669.801655878447
C08,SYBR,klf4,Unkn,,100ng,21.1750781384674,NaN,21.1750781384674,0,76.5,607.914610611608
C10,SYBR,nanog,Unkn,,100ng,22.176303637824,NaN,22.176303637824,0,85.5,390.54089824527
C11,SYBR,nanog,Unkn,,100ng,22.1607351158322,NaN,22.1607351158322,0,85.5,400.183766249086
E01,SYBR,Maria_GAPDH,Pos Ctrl,,1ng,21.0907845866832,NaN,21.0907845866832,0,80,250.177456032982
E02,SYBR,Maria_GAPDH,Pos Ctrl,,1ng,21.2016181030197,NaN,21.2016181030197,0,80,280.158656178352
F01,SYBR,Maria_GAPDH,Pos Ctrl,,10ng,17.5971137932839,NaN,17.5971137932839,0,None,None
F02,SYBR,Maria_GAPDH,Pos Ctrl,,10ng,17.3307221469436,NaN,17.3307221469436,0,80.5,267.216012584466
G01,SYBR,Maria_GAPDH,Pos Ctrl,,100ng,14.3789327305165,NaN,14.3789327305165,0,80.5,245.112901915925
G02,SYBR,Maria_GAPDH,Pos Ctrl,,100ng,14.6641731372464,NaN,14.6641731372464,0,None,None
